Local time,Open,High,Low,Close,Volume
29.03.2018 23:00:00.000 GMT+0200,1325.071,1325.071,1325.071,1325.071,0
30.03.2018 03:00:00.000 GMT+0200,1325.071,1325.071,1325.071,1325.071,0
30.03.2018 07:00:00.000 GMT+0200,1325.071,1325.071,1325.071,1325.071,0
30.03.2018 11:00:00.000 GMT+0200,1325.071,1325.071,1325.071,1325.071,0
30.03.2018 15:00:00.000 GMT+0200,1325.071,1325.071,1325.071,1325.071,0
30.03.2018 19:00:00.000 GMT+0200,1325.071,1325.071,1325.071,1325.071,0
01.04.2018 23:00:00.000 GMT+0200,1325.742,1327.491,1324.811,1326.669,3345689.9524
02.04.2018 03:00:00.000 GMT+0200,1326.681,1330.302,1326.658,1329.499,4135160.0587999998
02.04.2018 07:00:00.000 GMT+0200,1329.479,1332.429,1328.371,1331.729,3198289.9902999997
02.04.2018 11:00:00.000 GMT+0200,1331.729,1335.469,1331.249,1334.548,5261259.9134
02.04.2018 15:00:00.000 GMT+0200,1334.572,1340.292,1332.599,1339.228,13690860.2714
02.04.2018 19:00:00.000 GMT+0200,1339.228,1344.792,1338.918,1341.121,11383019.983799998
02.04.2018 23:00:00.000 GMT+0200,1340.478,1342.491,1339.631,1340.729,2892265.0218
03.04.2018 03:00:00.000 GMT+0200,1340.749,1340.762,1337.219,1338.368,4372860.0145000005
03.04.2018 07:00:00.000 GMT+0200,1338.368,1342.012,1336.321,1337.148,5343049.9435
03.04.2018 11:00:00.000 GMT+0200,1337.152,1341.129,1336.200,1338.358,5182489.8719
03.04.2018 15:00:00.000 GMT+0200,1338.362,1338.451,1329.000,1333.891,11616999.8646
03.04.2018 19:00:00.000 GMT+0200,1333.902,1334.822,1330.171,1332.672,5555770.099200001
03.04.2018 23:00:00.000 GMT+0200,1332.628,1333.531,1331.469,1332.478,2233921.945
04.04.2018 03:00:00.000 GMT+0200,1332.469,1335.859,1331.899,1335.108,3534560.0248000002
04.04.2018 07:00:00.000 GMT+0200,1335.111,1344.928,1332.991,1342.021,8187450.0513
04.04.2018 11:00:00.000 GMT+0200,1342.018,1348.218,1341.828,1347.081,8446259.8562
04.04.2018 15:00:00.000 GMT+0200,1347.082,1347.518,1334.019,1336.309,11236134.052199999
04.04.2018 19:00:00.000 GMT+0200,1336.309,1337.138,1332.188,1333.071,6395119.9651
04.04.2018 23:00:00.000 GMT+0200,1332.578,1334.848,1330.550,1330.588,2963709.9505000003
05.04.2018 03:00:00.000 GMT+0200,1330.601,1331.912,1328.000,1328.498,3678699.0762
05.04.2018 07:00:00.000 GMT+0200,1328.498,1329.428,1324.439,1326.131,5223630.011
05.04.2018 11:00:00.000 GMT+0200,1326.101,1330.682,1324.718,1325.449,5669939.9352
05.04.2018 15:00:00.000 GMT+0200,1325.479,1329.648,1322.737,1324.841,9306199.908300001
05.04.2018 19:00:00.000 GMT+0200,1324.839,1326.972,1324.732,1326.371,4315710.0677000005
05.04.2018 23:00:00.000 GMT+0200,1326.138,1332.238,1326.088,1330.648,3641524.0168
06.04.2018 03:00:00.000 GMT+0200,1330.648,1333.289,1326.609,1327.829,4384033.978
